Response,Submitted on,Kritik dan saran,Sentimen,tanggal,jam,hari,normalisasi,case_folding,tokenizing,filtering,stemming,clean_review,Sentimen_Biner
345836,2025-09-21 01:06:00,Untuk servernya full dan error jadi agak susah saat mengerjakan,negatif,2025-09-21,1,Sunday,Untuk servernya full dan error jadi agak susah saat mengerjakan,untuk servernya full dan error jadi agak susah saat mengerjakan,"['untuk', 'servernya', 'full', 'dan', 'error', 'jadi', 'agak', 'susah', 'saat', 'mengerjakan']","['servernya', 'full', 'error', 'jadi', 'susah', 'mengerjakan']","['servernya', 'full', 'error', 'jadi', 'susah', 'kerja']",servernya full error jadi susah kerja,-1
306420,2025-09-17 23:02:00,Sudah baik untuk tahun ini namun akan lebih baik jika di laksanakan secara langsung makasih banyak,positif,2025-09-17,23,Wednesday,Sudah baik untuk tahun ini namun akan lebih baik jika di laksanakan secara langsung terima kasih banyak,sudah baik untuk tahun ini namun akan lebih baik jika di laksanakan secara langsung terima kasih banyak,"['sudah', 'baik', 'untuk', 'tahun', 'ini', 'namun', 'akan', 'lebih', 'baik', 'jika', 'di', 'laksanakan', 'secara', 'langsung', 'terima', 'kasih', 'banyak']","['baik', 'tahun', 'lebih', 'baik', 'laksanakan', 'langsung', 'terima', 'kasih', 'banyak']","['baik', 'tahun', 'lebih', 'baik', 'laksana', 'langsung', 'terima', 'kasih', 'banyak']",baik tahun lebih baik laksana langsung terima kasih banyak,1
341608,2025-09-20 18:47:00,Tolong perbaiki website PPKMB sehingga lebih mudah dan cepat diakses,positif,2025-09-20,18,Saturday,Tolong perbaiki website PPKMB sehingga lebih mudah dan cepat diakses,tolong perbaiki website ppkmb sehingga lebih mudah dan cepat diakses,"['tolong', 'perbaiki', 'website', 'ppkmb', 'sehingga', 'lebih', 'mudah', 'dan', 'cepat', 'diakses']","['perbaiki', 'website', 'ppkmb', 'lebih', 'mudah', 'cepat', 'diakses']","['baik', 'website', 'ppkmb', 'lebih', 'mudah', 'cepat', 'akses']",baik website ppkmb lebih mudah cepat akses,1
293208,2025-09-15 20:21:00,Kegiatan PKKMB tahun ini menurut saya sudah berjalan baik dan memberikan banyak informasi penting bagi mahasiswa baru,positif,2025-09-15,20,Monday,Kegiatan PKKMB tahun ini menurut saya sudah berjalan baik dan memberikan banyak informasi penting bagi mahasiswa baru,kegiatan pkkmb tahun ini menurut saya sudah berjalan baik dan memberikan banyak informasi penting bagi mahasiswa baru,"['kegiatan', 'pkkmb', 'tahun', 'ini', 'menurut', 'saya', 'sudah', 'berjalan', 'baik', 'dan', 'memberikan', 'banyak', 'informasi', 'penting', 'bagi', 'mahasiswa', 'baru']","['kegiatan', 'pkkmb', 'tahun', 'berjalan', 'baik', 'memberikan', 'banyak', 'informasi', 'penting', 'mahasiswa', 'baru']","['giat', 'pkkmb', 'tahun', 'jalan', 'baik', 'beri', 'banyak', 'informasi', 'penting', 'mahasiswa', 'baru']",giat pkkmb tahun jalan baik beri banyak informasi penting mahasiswa baru,1
341272,2025-09-20 18:06:00,Semoga lebih baik,positif,2025-09-20,18,Saturday,Semoga lebih baik,semoga lebih baik,"['semoga', 'lebih', 'baik']","['semoga', 'lebih', 'baik']","['moga', 'lebih', 'baik']",moga lebih baik,1
294142,2025-09-15 22:57:00,Perbaiki lagi sistem websitenya agar ngga lemot,netral,2025-09-15,22,Monday,Perbaiki lagi sistem websitenya agar enggak lemot,perbaiki lagi sistem websitenya agar enggak lemot,"['perbaiki', 'lagi', 'sistem', 'websitenya', 'agar', 'enggak', 'lemot']","['perbaiki', 'sistem', 'websitenya', 'enggak', 'lemot']","['baik', 'sistem', 'websitenya', 'enggak', 'lot']",baik sistem websitenya enggak lot,0
346872,2025-09-21 02:18:00,kedepannya unpam semakin maju,netral,2025-09-21,2,Sunday,kedepannya unpam semakin maju,kedepannya unpam semakin maju,"['kedepannya', 'unpam', 'semakin', 'maju']","['kedepannya', 'unpam', 'semakin', 'maju']","['depan', 'unpam', 'makin', 'maju']",depan unpam makin maju,0
354138,2025-09-21 19:07:00,"“Saya merasa kegiatan PKKMB sudah berjalan dengan baik, namun ada satu hal yang perlu ditingkatkan, yaitu masalah koneksi internet. Karena kegiatan ini diikuti banyak mahasiswa secara bersamaan, sering terjadi kendala jaringan yang membuat beberapa peserta tertinggal dalam menerima informasi. Akan lebih baik jika pihak kampus menyiapkan sistem pendukung, seperti server cadangan atau pembagian akses secara bergiliran, sehingga koneksi internet lebih lancar dan semua mahasiswa bisa mengikuti kegiatan dengan nyaman. Dengan begitu, materi PKKMB dapat tersampaikan secara maksimal.”",positif,2025-09-21,19,Sunday,"“Saya merasa kegiatan PKKMB sudah berjalan dengan baik, namun ada satu hal yang perlu ditingkatkan, yaitu masalah koneksi internet. Karena kegiatan ini diikuti banyak mahasiswa secara bersamaan, sering terjadi kendala jaringan yang membuat beberapa peserta tertinggal dalam menerima informasi. Akan lebih baik jika pihak kampus menyiapkan sistem pendukung, seperti server cadangan atau pembagian akses secara bergiliran, sehingga koneksi internet lebih lancar dan semua mahasiswa bisa mengikuti kegiatan dengan nyaman. Dengan begitu, materi PKKMB dapat tersampaikan secara maksimal.”",saya merasa kegiatan pkkmb sudah berjalan dengan baik namun ada satu hal yang perlu ditingkatkan yaitu masalah koneksi internet karena kegiatan ini diikuti banyak mahasiswa secara bersamaan sering terjadi kendala jaringan yang membuat beberapa peserta tertinggal dalam menerima informasi akan lebih baik jika pihak kampus menyiapkan sistem pendukung seperti server cadangan atau pembagian akses secara bergiliran sehingga koneksi internet lebih lancar dan semua mahasiswa bisa mengikuti kegiatan dengan nyaman dengan begitu materi pkkmb dapat tersampaikan secara maksimal,"['saya', 'merasa', 'kegiatan', 'pkkmb', 'sudah', 'berjalan', 'dengan', 'baik', 'namun', 'ada', 'satu', 'hal', 'yang', 'perlu', 'ditingkatkan', 'yaitu', 'masalah', 'koneksi', 'internet', 'karena', 'kegiatan', 'ini', 'diikuti', 'banyak', 'mahasiswa', 'secara', 'bersamaan', 'sering', 'terjadi', 'kendala', 'jaringan', 'yang', 'membuat', 'beberapa', 'peserta', 'tertinggal', 'dalam', 'menerima', 'informasi', 'akan', 'lebih', 'baik', 'jika', 'pihak', 'kampus', 'menyiapkan', 'sistem', 'pendukung', 'seperti', 'server', 'cadangan', 'atau', 'pembagian', 'akses', 'secara', 'bergiliran', 'sehingga', 'koneksi', 'internet', 'lebih', 'lancar', 'dan', 'semua', 'mahasiswa', 'bisa', 'mengikuti', 'kegiatan', 'dengan', 'nyaman', 'dengan', 'begitu', 'materi', 'pkkmb', 'dapat', 'tersampaikan', 'secara', 'maksimal']","['merasa', 'kegiatan', 'pkkmb', 'berjalan', 'baik', 'satu', 'perlu', 'ditingkatkan', 'masalah', 'koneksi', 'internet', 'kegiatan', 'diikuti', 'banyak', 'mahasiswa', 'bersamaan', 'sering', 'terjadi', 'kendala', 'jaringan', 'membuat', 'beberapa', 'peserta', 'tertinggal', 'menerima', 'informasi', 'lebih', 'baik', 'pihak', 'kampus', 'menyiapkan', 'sistem', 'pendukung', 'server', 'cadangan', 'pembagian', 'akses', 'bergiliran', 'koneksi', 'internet', 'lebih', 'lancar', 'semua', 'mahasiswa', 'mengikuti', 'kegiatan', 'nyaman', 'materi', 'pkkmb', 'tersampaikan', 'maksimal']","['rasa', 'giat', 'pkkmb', 'jalan', 'baik', 'satu', 'perlu', 'tingkat', 'masalah', 'koneksi', 'internet', 'giat', 'ikut', 'banyak', 'mahasiswa', 'sama', 'sering', 'jadi', 'kendala', 'jaring', 'buat', 'beberapa', 'serta', 'tinggal', 'terima', 'informasi', 'lebih', 'baik', 'pihak', 'kampus', 'siap', 'sistem', 'dukung', 'server', 'cadang', 'bagi', 'akses', 'gilir', 'koneksi', 'internet', 'lebih', 'lancar', 'semua', 'mahasiswa', 'ikut', 'giat', 'nyaman', 'materi', 'pkkmb', 'sampai', 'maksimal']",rasa giat pkkmb jalan baik satu perlu tingkat masalah koneksi internet giat ikut banyak mahasiswa sama sering jadi kendala jaring buat beberapa serta tinggal terima informasi lebih baik pihak kampus siap sistem dukung server cadang bagi akses gilir koneksi internet lebih lancar semua mahasiswa ikut giat nyaman materi pkkmb sampai maksimal,1
316126,2025-09-18 23:38:00,tidak ada semua sudah bagus dan cukup,positif,2025-09-18,23,Thursday,tidak ada semua sudah bagus dan cukup,tidak ada semua sudah bagus dan cukup,"['tidak', 'ada', 'semua', 'sudah', 'bagus', 'dan', 'cukup']","['tidak', 'semua', 'bagus', 'cukup']","['tidak', 'semua', 'bagus', 'cukup']",tidak semua bagus cukup,1
294646,2025-09-16 00:03:00,"materi yang disampaikan baik, dan jelas. dapat dimengerti dengan baik oleh maba. karena saya hanya mengikuti kegiatan yang online nya maka saya ada sedikit masukan untuk sistemnya lebih user friendly mengingat tidak semua maba adalah orang yang paham teknologi",positif,2025-09-16,0,Tuesday,"materi yang disampaikan baik, dan jelas. dapat dimengerti dengan baik oleh maba. karena saya hanya mengikuti kegiatan yang online nya maka saya ada sedikit masukan untuk sistemnya lebih user friendly mengingat tidak semua maba adalah orang yang paham teknologi",materi yang disampaikan baik dan jelas dapat dimengerti dengan baik oleh maba karena saya hanya mengikuti kegiatan yang online nya maka saya ada sedikit masukan untuk sistemnya lebih user friendly mengingat tidak semua maba adalah orang yang paham teknologi,"['materi', 'yang', 'disampaikan', 'baik', 'dan', 'jelas', 'dapat', 'dimengerti', 'dengan', 'baik', 'oleh', 'maba', 'karena', 'saya', 'hanya', 'mengikuti', 'kegiatan', 'yang', 'online', 'nya', 'maka', 'saya', 'ada', 'sedikit', 'masukan', 'untuk', 'sistemnya', 'lebih', 'user', 'friendly', 'mengingat', 'tidak', 'semua', 'maba', 'adalah', 'orang', 'yang', 'paham', 'teknologi']","['materi', 'disampaikan', 'baik', 'jelas', 'dimengerti', 'baik', 'maba', 'mengikuti', 'kegiatan', 'online', 'nya', 'sedikit', 'masukan', 'sistemnya', 'lebih', 'user', 'friendly', 'mengingat', 'tidak', 'semua', 'maba', 'orang', 'paham', 'teknologi']","['materi', 'sampai', 'baik', 'jelas', 'erti', 'baik', 'maba', 'ikut', 'giat', 'online', 'nya', 'sedikit', 'masuk', 'sistem', 'lebih', 'user', 'friendly', 'ingat', 'tidak', 'semua', 'maba', 'orang', 'paham', 'teknologi']",materi sampai baik jelas erti baik maba ikut giat online nya sedikit masuk sistem lebih user friendly ingat tidak semua maba orang paham teknologi,1
